price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,prefarea,furnishingstatus,total_building_area
8043000,7482,3,2,3,yes,no,no,yes,no,yes,furnished,22446
7875000,6550,3,1,2,yes,no,yes,no,yes,yes,furnished,13100
7560000,6000,3,2,3,yes,no,no,no,yes,no,semi-furnished,18000
7455000,4300,3,2,2,yes,no,yes,no,no,no,unfurnished,8600
7420000,7440,3,2,1,yes,yes,yes,no,yes,yes,semi-furnished,7440
7350000,6000,3,2,2,yes,yes,no,no,yes,no,semi-furnished,12000
7350000,6000,3,1,2,yes,no,no,no,yes,no,unfurnished,12000
7140000,6000,3,2,2,yes,yes,no,no,no,no,semi-furnished,12000
7070000,8880,2,1,1,yes,no,no,no,yes,no,semi-furnished,8880
7070000,6240,4,2,2,yes,no,no,no,yes,no,furnished,12480
7035000,6360,4,2,3,yes,no,no,no,yes,yes,furnished,19080
6930000,8880,3,2,2,yes,no,yes,no,yes,no,furnished,17760
6895000,7700,3,2,1,yes,no,no,no,no,no,unfurnished,7700
6860000,6000,3,1,1,yes,no,no,no,yes,no,furnished,6000
6790000,4000,3,2,2,yes,no,yes,no,yes,yes,semi-furnished,8000
6650000,4040,3,1,2,yes,no,yes,yes,no,no,furnished,8080
6650000,4260,4,2,2,yes,no,no,yes,no,no,semi-furnished,8520
6650000,6420,3,2,3,yes,no,no,no,yes,yes,furnished,19260
6650000,6500,3,2,3,yes,no,no,no,yes,yes,furnished,19500
6650000,5700,3,1,1,yes,yes,yes,no,yes,yes,furnished,5700
6650000,6000,3,2,3,yes,yes,no,no,yes,no,furnished,18000
6629000,6000,3,1,2,yes,no,no,yes,no,yes,semi-furnished,12000
6615000,4000,3,2,2,yes,no,yes,no,yes,no,semi-furnished,8000
6510000,3760,3,1,2,yes,no,no,yes,no,no,semi-furnished,7520
6510000,8250,3,2,3,yes,no,no,no,yes,no,furnished,24750
6510000,6670,3,1,3,yes,no,yes,no,no,yes,unfurnished,20010
6475000,3960,3,1,1,yes,no,yes,no,no,no,semi-furnished,3960
6475000,7410,3,1,1,yes,yes,yes,no,yes,yes,unfurnished,7410
6440000,5000,3,1,2,yes,no,no,no,yes,no,semi-furnished,10000
6419000,6750,2,1,1,yes,yes,yes,no,no,yes,furnished,6750
6300000,4100,3,2,3,yes,no,no,no,yes,no,semi-furnished,12300
6300000,9000,3,1,1,yes,no,yes,no,no,yes,furnished,9000
6300000,6400,3,1,1,yes,yes,yes,no,yes,yes,semi-furnished,6400
6293000,6600,3,2,3,yes,no,no,no,yes,yes,unfurnished,19800
6265000,6000,4,1,3,yes,yes,yes,no,no,yes,unfurnished,18000
6230000,6600,3,2,1,yes,no,yes,no,yes,yes,unfurnished,6600
6230000,5500,3,1,3,yes,no,no,no,no,yes,unfurnished,16500
6195000,6350,3,2,3,yes,yes,no,no,yes,no,furnished,19050
6195000,5500,3,2,1,yes,yes,yes,no,no,yes,furnished,5500
